Date,Gold,Bonds,Oil,Nasdaq ETF
2016-11-01,1286.4000244140625,109.0212173461914,46.66999816894531,109.9314956665039
2016-11-02,1306.800048828125,109.49557495117188,45.34000015258789,109.05099487304688
2016-11-03,1302.0999755859375,108.65513610839844,44.65999984741211,107.98110961914062
2016-11-04,1303.300048828125,109.62872314453125,44.06999969482422,107.60240936279297
2016-11-07,1278.300048828125,108.69668579101562,44.88999938964844,110.15874481201172
2016-11-08,1273.4000244140625,108.25565338134766,44.97999954223633,110.87828826904297
2016-11-09,1272.5999755859375,103.66215515136719,45.27000045776367,111.38956451416016
2016-11-10,1265.5,102.13098907470703,44.65999984741211,109.5906753540039
2016-11-14,1221.199951171875,100.94929504394531,43.31999969482422,108.53026580810547
2016-11-15,1224.0,101.4485855102539,45.810001373291016,110.03568267822266
2016-11-16,1223.4000244140625,102.36397552490234,45.56999969482422,110.68892669677734
2016-11-17,1216.5,100.85774993896484,45.41999816894531,111.49371337890625
2016-11-18,1208.5,100.56651306152344,45.689998626708984,111.07711791992188
2016-11-21,1209.5999755859375,100.816162109375,47.4900016784668,112.2322006225586
2016-11-22,1211.0,100.7828598022461,48.029998779296875,112.57305145263672
2016-11-23,1189.0999755859375,100.39173126220703,47.959999084472656,112.11860656738281
2016-11-25,1178.199951171875,100.54154968261719,46.060001373291016,112.4783706665039
2016-11-28,1190.5999755859375,101.28218078613281,47.08000183105469,112.22273254394531
2016-11-29,1187.9000244140625,101.70655822753906,45.22999954223633,112.61089324951172
2016-11-30,1170.800048828125,100.05887603759766,49.439998626708984,111.2475357055664
2016-12-01,1166.9000244140625,99.00243377685547,51.060001373291016,109.32555389404297
2016-12-02,1175.0999755859375,99.72785186767578,51.68000030517578,109.5433120727539
2016-12-05,1174.0,99.61944580078125,51.790000915527344,110.39543151855469
2016-12-06,1167.5999755859375,99.54442596435547,50.93000030517578,110.66053771972656
2016-12-07,1175.0,100.39492797851562,49.77000045776367,112.06177520751953
2016-12-08,1169.800048828125,99.21086120605469,50.84000015258789,112.26060485839844
2016-12-09,1159.4000244140625,97.97676849365234,51.5,113.14111328125
2016-12-12,1163.5,98.16024780273438,52.83000183105469,112.62982940673828
2016-12-13,1156.699951171875,98.51043701171875,52.97999954223633,114.05001831054688
2016-12-14,1161.300048828125,97.40975952148438,51.040000915527344,113.81331634521484
2016-12-15,1127.800048828125,97.90176391601562,50.900001525878906,113.99324035644531
2016-12-16,1135.300048828125,97.67657470703125,51.900001525878906,113.57064819335938
2016-12-19,1140.5,98.72725677490234,52.119998931884766,114.03595733642578
2016-12-20,1131.5,98.23527526855469,52.22999954223633,114.4727783203125
2016-12-21,1131.0999755859375,98.66886901855469,52.4900016784668,114.38729858398438
2016-12-22,1128.800048828125,98.49251556396484,52.95000076293945,114.06446838378906
2016-12-23,1131.9000244140625,98.69307708740234,53.02000045776367,114.14043426513672
2016-12-27,1137.300048828125,98.37545013427734,53.900001525878906,114.72915649414062
2016-12-28,1139.4000244140625,99.09442901611328,54.060001373291016,113.8365478515625
2016-12-29,1156.4000244140625,99.44552612304688,53.77000045776367,113.67511749267578
2016-12-30,1150.0,99.59603118896484,53.720001220703125,112.50711059570312
2017-01-03,1160.4000244140625,100.02238464355469,52.33000183105469,113.5136947631836
2017-01-04,1163.800048828125,100.40697479248047,53.2599983215332,114.13093566894531
2017-01-05,1179.699951171875,101.97872161865234,53.7599983215332,114.7766342163086
2017-01-06,1171.9000244140625,101.04234313964844,53.9900016784668,115.783203125
2017-01-09,1183.5,101.85338592529297,51.959999084472656,116.16303253173828
2017-01-10,1184.199951171875,101.78639221191406,50.81999969482422,116.41943359375
2017-01-11,1195.5999755859375,102.12918853759766,52.25,116.7327880859375
2017-01-12,1198.9000244140625,101.90345001220703,53.0099983215332,116.55235290527344
2017-01-13,1195.300048828125,101.4185791015625,52.369998931884766,116.95120239257812
2017-01-17,1212.0,102.48033905029297,52.47999954223633,116.599853515625
2017-01-18,1211.300048828125,101.16775512695312,51.08000183105469,116.83723449707031
2017-01-19,1200.9000244140625,100.47380828857422,51.369998931884766,116.7802734375
2017-01-20,1204.300048828125,100.27320098876953,52.41999816894531,117.03663635253906
2017-01-23,1215.0,101.27645111083984,52.75,117.131591796875
2017-01-24,1210.300048828125,100.5825424194336,53.18000030517578,117.9197769165039
2017-01-25,1197.300048828125,99.32012939453125,52.75,119.10675048828125
2017-01-26,1189.5,99.65454864501953,53.779998779296875,119.2302017211914
2017-01-27,1188.0999755859375,100.0140151977539,53.16999816894531,119.45811462402344
2017-01-30,1193.199951171875,99.71304321289062,52.630001068115234,118.52751159667969
2017-01-31,1208.5999755859375,100.40697479248047,52.810001373291016,118.29010772705078
2017-02-01,1205.5999755859375,99.78614044189453,53.880001068115234,119.10675048828125
2017-02-02,1216.699951171875,99.74432373046875,53.540000915527344,119.0022964477539
2017-02-03,1218.5,99.70234680175781,53.83000183105469,119.34416961669922
2017-02-06,1230.0,100.30559539794922,53.0099983215332,119.48658752441406
2017-02-07,1234.199951171875,101.04289245605469,52.16999816894531,119.92341613769531
2017-02-08,1237.5999755859375,102.41696166992188,52.34000015258789,120.12281799316406
2017-02-09,1235.0999755859375,101.23564147949219,53.0,120.55963897705078
2017-02-10,1234.4000244140625,101.17692565917969,53.86000061035156,120.95845794677734
2017-02-13,1224.4000244140625,100.85857391357422,52.93000030517578,121.64217376708984
2017-02-14,1223.9000244140625,100.12962341308594,53.20000076293945,122.05046844482422
2017-02-15,1231.699951171875,99.66887664794922,53.11000061035156,122.77217102050781
