Date,AMZN,AXP,AAPL,AXTA,BAC,BK,GOLD,BIIB,CHTR,KO,COST,DVA,GM,GL,JNJ,JPM,KHC,KR,LBTYA,LBTYK,LILA,LILAK,LSXMA,LSXMK,MTB,MA,MDLZ,MCO,PNC,PG,RH,SIRI,SNOW,SPY,STNE,SU,SYF,TEVA,USB,UPS,VOO,VRSN,V,WFC
2016-11-01 00:00:00,39.27050018310547,59.45835876464844,25.77411460876465,25.11000061035156,13.979828834533691,35.437129974365234,15.751805305480955,282.5599975585937,249.57000732421875,32.89207077026367,125.43421936035156,57.81999969482422,26.680288314819336,59.59375,93.46900177001952,55.97074890136719,63.16430282592773,26.366439819335938,32.2599983215332,31.61000061035156,25.82469367980957,25.77212715148925,32.4287109375,32.2517204284668,98.5001449584961,100.48988342285156,37.69450378417969,91.80575561523438,74.90550231933594,70.77061462402344,29.030000686645508,3.645911455154419,,185.5222320556641,,22.7506046295166,23.54058265686035,41.33293151855469,34.09357070922852,83.98729705810547,169.6979217529297,83.08999633789062,77.3594741821289,36.7557373046875
2016-11-02 00:00:00,38.27799987792969,58.740379333496094,25.79722595214844,25.0,13.870412826538086,35.00437545776367,15.520798683166504,277.260009765625,252.9100036621093,32.837406158447266,125.48565673828124,57.970001220703125,26.654861450195312,59.574928283691406,93.08003997802734,55.73540496826172,63.00706100463867,27.59099578857422,31.8700008392334,31.290000915527344,25.494815826416016,25.404895782470703,32.08456039428711,31.82890892028809,97.63449096679688,99.57078552246094,37.3464241027832,90.80463409423828,74.27848052978516,70.68097686767578,29.459999084472656,3.619619607925415,,184.4056396484375,,22.52294921875,23.425188064575195,41.53423690795898,33.740821838378906,84.03443145751953,168.57696533203125,80.83000183105469,76.373779296875,36.45756149291992
2016-11-03 00:00:00,38.35150146484375,58.63268661499024,25.52071952819824,24.540000915527344,13.870412826538086,35.1431884765625,15.683356285095217,273.489990234375,247.4199981689453,32.821781158447266,123.9242706298828,58.459999084472656,26.33279609680176,60.04542922973633,93.21778106689452,55.491947174072266,61.64898300170898,26.56339263916016,31.43000030517578,30.700000762939453,24.99528694152832,24.94350242614746,31.82890892028809,31.69124984741211,97.3138656616211,99.36014556884766,36.76912689208984,90.8973388671875,74.38037872314453,70.56689453125,27.950000762939453,3.619619607925415,,183.5615692138672,,22.424293518066406,23.29270362854004,37.57539749145508,33.7791633605957,84.49039459228516,167.92015075683594,80.38999938964844,76.44011688232422,36.53816223144531
2016-11-04 00:00:00,37.75249862670898,58.79422378540039,25.290674209594727,24.530000686645508,13.929329872131348,35.10236358642578,15.632024765014648,277.0,250.22999572753903,32.556278228759766,122.02835083007812,58.630001068115234,26.409074783325195,59.894866943359375,93.28260040283205,54.988800048828125,60.076507568359375,26.477771759033203,31.65999984741211,30.850000381469727,18.00188446044922,18.23917007446289,31.92723655700684,31.681415557861328,97.63449096679688,98.64210510253906,36.174842834472656,90.4802017211914,74.18441772460938,69.32830810546875,28.489999771118164,3.628384113311768,,183.3593597412109,,22.143518447875977,23.36722183227539,38.572296142578125,33.6871452331543,84.06588745117188,167.6923828125,79.7699966430664,76.16524505615234,35.94179916381836
2016-11-07 00:00:00,39.24649810791016,60.1314811706543,25.655488967895508,25.049999237060547,14.316490173339844,35.95154571533203,14.844861030578612,295.6199951171875,257.1600036621094,33.1575813293457,123.1435775756836,57.84999847412109,27.13795280456543,61.07113265991211,94.53872680664062,56.709232330322266,61.49174880981445,26.75179100036621,32.130001068115234,31.299999237060547,18.765316009521484,18.757062911987305,32.586036682128906,32.43854522705078,100.09519958496094,101.44730377197266,37.54169845581055,92.30628204345705,75.55604553222656,70.5343017578125,28.780000686645508,3.707452058792114,,187.4037170410156,,22.765783309936523,24.10417938232422,39.08991622924805,34.446311950683594,86.31415557861328,171.3706512451172,81.87999725341797,78.20301055908203,36.58650588989258
2016-11-08 00:00:00,39.38750076293945,60.194313049316406,25.8065242767334,25.07999992370605,14.308072090148926,35.829063415527344,14.673736572265623,295.6000061035156,262.260009765625,33.48556900024414,125.33126068115234,58.02000045776367,26.892166137695312,61.569854736328125,94.8547592163086,56.83096694946289,63.14286804199219,26.460634231567383,33.13999938964844,32.2400016784668,19.10461807250977,19.001882553100582,32.97935104370117,32.713863372802734,100.29556274414062,101.19837951660156,39.06135177612305,92.39900970458984,75.744140625,71.26769256591797,28.600000381469727,3.7513794898986816,,188.247787475586,,22.90238380432129,23.764684677124023,37.16321563720703,34.49232482910156,88.06715393066406,172.1588897705078,81.4800033569336,78.55370330810547,36.6993293762207
2016-11-09 00:00:00,38.59400177001953,61.6931037902832,25.76469612121582,25.63999938964844,15.124471664428713,37.18449783325195,14.759297370910645,319.8599853515625,269.8299865722656,33.00920486450195,125.93180847167967,59.33000183105469,26.23956871032715,63.555362701416016,97.49659729003906,59.44406127929688,60.7126579284668,27.650941848754883,33.150001525878906,32.119998931884766,19.245994567871094,19.06779670715332,33.34316635131836,32.98918533325195,105.43340301513672,101.66751861572266,37.36341094970703,93.31668090820312,79.35735321044922,70.02094268798828,29.600000381469727,3.768950700759888,,190.2435913085937,,23.130041122436523,25.02329635620117,38.31348419189453,35.788265228271484,89.2149887084961,173.99795532226562,82.05000305175781,78.89490509033203,38.673709869384766
2016-11-10 00:00:00,37.11899948120117,62.92265701293945,25.04669189453125,26.059999465942383,15.789383888244627,37.7315673828125,13.492989540100098,324.3999938964844,270.8699951171875,31.97059440612793,125.85458374023438,59.97999954223633,27.73969841003418,65.48443603515625,96.87259674072266,62.203243255615234,58.1966552734375,28.252599716186523,30.88999938964844,30.290000915527344,19.03864288330078,18.74764633178711,33.66764831542969,33.22517013549805,107.17272186279295,100.04949188232422,35.58903503417969,92.9459228515625,83.0645980834961,67.60081481933594,31.489999771118164,3.786520957946777,,190.7183837890625,,22.55330276489257,26.17427444458008,38.399749755859375,36.50909805297852,89.69789123535156,174.4008331298828,81.05000305175781,77.59642028808594,41.6070671081543
2016-11-11 00:00:00,36.95050048828125,63.27267456054688,25.19540405273437,26.190000534057617,16.008207321166992,38.15615463256836,12.697274208068848,319.17999267578125,272.44000244140625,32.040870666503906,128.13661193847656,59.52999877929688,28.8330135345459,65.88907623291016,96.0054702758789,62.23571395874024,58.04654693603516,28.81129264831543,30.6200008392334,30.01000022888184,19.048067092895508,18.62523460388184,34.02163314819336,33.55949020385742,109.00821685791016,100.16439056396484,34.96929168701172,93.10348510742188,83.02542114257812,68.10601043701172,32.04999923706055,3.8304498195648193,,190.2787475585937,,22.13593292236328,26.894662857055664,38.96530151367188,36.731483459472656,90.42616271972656,174.07681274414062,81.36000061035156,77.60588836669922,41.68766403198242
2016-11-14 00:00:00,35.95349884033203,64.995849609375,24.56336975097656,25.850000381469727,16.900354385375977,38.80937957763672,12.526153564453123,321.489990234375,263.1400146484375,32.15019607543945,130.40147399902344,60.59000015258789,28.205846786499023,66.6324462890625,94.49007415771484,64.52420806884766,57.23885726928711,29.77396011352539,30.65999984741211,30.15999984741211,19.18944358825684,18.719396591186523,34.818092346191406,34.316619873046875,112.17425537109376,96.83258819580078,35.164554595947266,92.75125122070312,84.72621154785156,67.63339233398438,34.689998626708984,3.944660663604736,,190.4281768798828,,22.24975776672364,27.92144203186035,39.329551696777344,37.36796188354492,89.3812255859375,174.1030731201172,78.80999755859375,74.28860473632812,42.888404846191406
